year_month,district,okrug,secondary_price_per_sqm,newbuild_price_per_sqm,rental_price_per_sqm_monthly,secondary_mom_change_pct,newbuild_mom_change_pct,n_listings_secondary,n_listings_newbuild,n_listings_rental,cbr_key_rate_pct,avg_mortgage_rate_pct
2021-10,Arbat,CAO,651900,706100,2716,2.51,2.25,131,57,24,8.5,11.0
2021-11,Arbat,CAO,636800,714800,2653,-2.32,1.23,45,5,58,8.5,11.0
2021-12,Arbat,CAO,656800,739400,2737,3.15,3.45,75,21,48,8.5,11.0
2022-01,Arbat,CAO,667200,738900,2780,1.58,-0.07,66,69,81,20.0,22.5
2022-02,Arbat,CAO,671300,745400,2797,0.61,0.89,62,49,47,20.0,22.5
2022-03,Arbat,CAO,636200,702100,2651,-5.23,-5.81,192,40,110,20.0,22.5
2022-04,Arbat,CAO,615500,649400,2565,-3.25,-7.52,171,23,49,9.5,12.0
2022-05,Arbat,CAO,635600,680600,2648,3.27,4.81,116,62,89,9.5,12.0
2022-06,Arbat,CAO,625900,692600,2608,-1.53,1.76,34,17,50,9.5,12.0
2022-07,Arbat,CAO,643500,704300,2681,2.8,1.68,21,45,71,9.5,12.0
2022-08,Arbat,CAO,685100,738900,2855,6.48,4.92,69,79,23,9.5,12.0
2022-09,Arbat,CAO,683100,723600,2846,-0.3,-2.08,148,46,90,9.5,12.0
2022-10,Arbat,CAO,654200,719000,2726,-4.23,-0.63,92,60,36,7.5,10.0
2022-11,Arbat,CAO,696600,766200,2903,6.49,6.56,91,66,48,7.5,10.0
2022-12,Arbat,CAO,677900,743300,2825,-2.68,-2.99,162,14,63,7.5,10.0
2023-01,Arbat,CAO,685900,773300,2858,1.17,4.04,59,35,57,7.5,10.0
2023-02,Arbat,CAO,684200,771800,2851,-0.25,-0.19,146,18,38,7.5,10.0
2023-03,Arbat,CAO,680500,738700,2835,-0.54,-4.29,131,63,105,7.5,10.0
2023-04,Arbat,CAO,730200,828900,3042,7.3,12.22,128,70,59,7.5,10.0
2023-05,Arbat,CAO,727700,829900,3032,-0.34,0.12,127,46,106,7.5,10.0
2023-06,Arbat,CAO,750100,808400,3125,3.07,-2.59,97,63,19,7.5,10.0
2023-07,Arbat,CAO,730000,786100,3042,-2.68,-2.76,109,52,66,13.0,15.5
2023-08,Arbat,CAO,737800,839600,3074,1.07,6.81,67,76,43,13.0,15.5
2023-09,Arbat,CAO,716400,765500,2985,-2.89,-8.82,183,43,28,13.0,15.5
2023-10,Arbat,CAO,738800,805100,3079,3.13,5.17,163,16,68,13.0,15.5
2023-11,Arbat,CAO,761500,864800,3173,3.07,7.42,46,45,84,13.0,15.5
2023-12,Arbat,CAO,721100,767600,3005,-5.3,-11.24,87,66,19,13.0,15.5
2024-01,Arbat,CAO,728500,799600,3035,1.02,4.17,128,55,41,16.0,18.5
2024-02,Arbat,CAO,776200,867500,3234,6.55,8.5,199,11,28,16.0,18.5
2024-03,Arbat,CAO,745000,780500,3104,-4.02,-10.04,108,57,42,16.0,18.5
2024-04,Arbat,CAO,729400,815400,3039,-2.09,4.48,46,68,52,16.0,18.5
2024-05,Arbat,CAO,766400,827600,3194,5.07,1.49,91,70,91,16.0,18.5
2024-06,Arbat,CAO,736100,790000,3067,-3.96,-4.54,80,33,98,16.0,18.5
2024-07,Arbat,CAO,740500,795400,3085,0.59,0.69,57,66,59,16.0,18.5
2024-08,Arbat,CAO,751100,824900,3130,1.43,3.71,177,30,88,16.0,18.5
2024-09,Arbat,CAO,728400,806700,3035,-3.03,-2.21,162,19,68,16.0,18.5
2024-10,Arbat,CAO,763500,867100,3181,4.82,7.48,95,33,23,21.0,23.5
2024-11,Arbat,CAO,762800,842300,3178,-0.09,-2.86,165,10,61,21.0,23.5
2024-12,Arbat,CAO,722900,794500,3012,-5.22,-5.68,105,9,17,21.0,23.5
2025-01,Arbat,CAO,748000,826800,3117,3.47,4.07,118,66,60,21.0,23.5
2025-02,Arbat,CAO,710800,803900,2962,-4.98,-2.78,59,32,44,21.0,23.5
2025-03,Arbat,CAO,700200,771700,2917,-1.49,-4.01,115,5,111,21.0,23.5
2025-04,Arbat,CAO,734400,838800,3060,4.89,8.7,135,10,103,21.0,23.5
2025-05,Arbat,CAO,746000,815400,3108,1.58,-2.79,86,53,14,21.0,23.5
2025-06,Arbat,CAO,723800,808300,3016,-2.98,-0.88,55,65,52,21.0,23.5
2025-07,Arbat,CAO,729500,784600,3040,0.79,-2.92,180,23,53,17.0,19.5
2025-08,Arbat,CAO,754400,827200,3143,3.4,5.43,118,14,79,17.0,19.5
2025-09,Arbat,CAO,728200,806300,3034,-3.47,-2.53,93,35,103,17.0,19.5
2025-10,Arbat,CAO,756700,825600,3153,3.92,2.39,186,21,64,17.0,19.5
2025-11,Arbat,CAO,760200,840000,3167,0.46,1.75,74,18,84,17.0,19.5
2025-12,Arbat,CAO,742600,766700,3094,-2.3,-8.72,174,37,71,17.0,19.5
2026-01,Arbat,CAO,741700,809700,3091,-0.12,5.6,105,27,26,17.0,19.5
2026-02,Arbat,CAO,763800,806300,3183,2.98,-0.41,172,47,49,17.0,19.5
2026-03,Arbat,CAO,759500,847100,3165,-0.57,5.06,182,21,40,17.0,19.5
2026-04,Arbat,CAO,761700,822100,3174,0.3,-2.95,47,43,70,17.0,19.5
2020-01,Basmanny,CAO,380000,430100,1583,,,23,73,43,6.0,8.5
2020-02,Basmanny,CAO,382700,414900,1594,0.7,-3.54,103,75,98,6.0,8.5
2020-03,Basmanny,CAO,368800,389200,1537,-3.61,-6.19,65,55,67,6.0,8.5
2020-04,Basmanny,CAO,384700,419600,1603,4.31,7.79,22,17,68,4.25,6.75
2020-05,Basmanny,CAO,398100,460800,1659,3.48,9.84,95,71,41,4.25,6.75
2020-06,Basmanny,CAO,401800,453200,1674,0.92,-1.66,52,38,32,4.25,6.75
2020-07,Basmanny,CAO,399700,453900,1665,-0.53,0.15,90,59,96,4.25,6.75
2020-08,Basmanny,CAO,398500,449500,1661,-0.29,-0.97,93,13,51,4.25,6.75
2020-09,Basmanny,CAO,407200,444100,1697,2.18,-1.18,47,52,47,4.25,6.75
2020-10,Basmanny,CAO,405300,448600,1689,-0.48,1.01,43,65,12,4.25,6.75
2020-11,Basmanny,CAO,425000,473400,1771,4.88,5.52,138,42,20,4.25,6.75
2020-12,Basmanny,CAO,441100,496500,1838,3.78,4.89,95,63,48,4.25,6.75
2021-01,Basmanny,CAO,443000,479800,1846,0.44,-3.37,105,44,46,4.25,6.75
2021-02,Basmanny,CAO,433900,484800,1808,-2.05,1.06,32,11,85,4.25,6.75
2021-03,Basmanny,CAO,436400,484900,1818,0.57,0.01,34,17,95,4.25,6.75
2021-04,Basmanny,CAO,459500,509800,1914,5.29,5.14,185,21,118,8.5,11.0
2021-05,Basmanny,CAO,491200,535100,2046,6.9,4.95,144,45,13,8.5,11.0
2021-06,Basmanny,CAO,464600,501800,1936,-5.41,-6.22,187,5,37,8.5,11.0
2021-07,Basmanny,CAO,490000,537200,2042,5.47,7.04,156,78,68,8.5,11.0
2021-08,Basmanny,CAO,500700,529100,2086,2.19,-1.49,119,10,98,8.5,11.0
2021-09,Basmanny,CAO,498100,518700,2075,-0.53,-1.97,75,34,90,8.5,11.0
2021-10,Basmanny,CAO,491200,555100,2047,-1.38,7.0,50,74,68,8.5,11.0
2021-11,Basmanny,CAO,497400,549000,2072,1.25,-1.08,105,73,101,8.5,11.0
2021-12,Basmanny,CAO,520500,587900,2169,4.65,7.08,123,48,56,8.5,11.0
2022-01,Basmanny,CAO,509800,540600,2124,-2.05,-8.05,71,72,74,20.0,22.5
2022-02,Basmanny,CAO,514200,560900,2142,0.86,3.76,166,65,20,20.0,22.5
2022-03,Basmanny,CAO,505200,563600,2105,-1.75,0.49,96,10,113,20.0,22.5
2022-04,Basmanny,CAO,512600,556200,2136,1.47,-1.32,64,49,62,9.5,12.0
2022-05,Basmanny,CAO,514700,539900,2145,0.4,-2.92,26,74,117,9.5,12.0
2022-06,Basmanny,CAO,504600,533700,2103,-1.96,-1.16,175,39,83,9.5,12.0
2022-07,Basmanny,CAO,507800,555000,2116,0.64,3.99,26,49,99,9.5,12.0
2022-08,Basmanny,CAO,529000,603000,2204,4.16,8.65,126,69,20,9.5,12.0
2022-09,Basmanny,CAO,502700,540400,2095,-4.96,-10.38,85,11,112,9.5,12.0
2022-10,Basmanny,CAO,522500,574000,2177,3.95,6.23,35,27,91,7.5,10.0
2022-11,Basmanny,CAO,542900,568200,2262,3.89,-1.02,165,13,114,7.5,10.0
2022-12,Basmanny,CAO,531300,589600,2214,-2.14,3.77,123,19,39,7.5,10.0
2023-01,Basmanny,CAO,546100,607500,2275,2.79,3.04,141,39,46,7.5,10.0
2023-02,Basmanny,CAO,526900,586100,2195,-3.52,-3.53,64,59,79,7.5,10.0
2023-03,Basmanny,CAO,526800,582000,2195,-0.01,-0.69,58,34,82,7.5,10.0
2023-04,Basmanny,CAO,563500,584500,2348,6.96,0.42,88,29,89,7.5,10.0
2023-05,Basmanny,CAO,556900,617200,2321,-1.16,5.6,90,28,61,7.5,10.0
2023-06,Basmanny,CAO,557900,603300,2324,0.17,-2.25,26,22,103,7.5,10.0
2023-07,Basmanny,CAO,547800,607300,2283,-1.8,0.65,131,25,80,13.0,15.5
2023-08,Basmanny,CAO,553800,628300,2308,1.09,3.46,61,56,79,13.0,15.5
2023-09,Basmanny,CAO,569400,638400,2372,2.8,1.61,182,22,113,13.0,15.5
2023-10,Basmanny,CAO,573500,625200,2390,0.73,-2.07,27,30,83,13.0,15.5
2023-11,Basmanny,CAO,584200,629900,2434,1.86,0.74,155,73,25,13.0,15.5
2023-12,Basmanny,CAO,561100,598900,2338,-3.95,-4.91,112,26,80,13.0,15.5
2024-01,Basmanny,CAO,571700,638800,2382,1.9,6.66,51,46,55,16.0,18.5
2024-02,Basmanny,CAO,587400,668700,2448,2.75,4.68,45,72,66,16.0,18.5
2024-03,Basmanny,CAO,558400,645300,2327,-4.94,-3.51,159,56,81,16.0,18.5
2024-04,Basmanny,CAO,596500,636600,2486,6.83,-1.35,47,72,76,16.0,18.5
2024-05,Basmanny,CAO,573000,605700,2388,-3.94,-4.85,29,72,58,16.0,18.5
2024-06,Basmanny,CAO,596000,643100,2483,4.0,6.17,185,78,30,16.0,18.5
2024-07,Basmanny,CAO,583200,637100,2430,-2.15,-0.93,169,66,84,16.0,18.5
2024-08,Basmanny,CAO,579100,658800,2413,-0.69,3.4,140,29,75,16.0,18.5
2024-09,Basmanny,CAO,606600,673600,2527,4.74,2.25,132,19,21,16.0,18.5
2024-10,Basmanny,CAO,585200,641600,2438,-3.53,-4.75,26,73,18,21.0,23.5
2024-11,Basmanny,CAO,553900,597400,2308,-5.35,-6.89,34,63,86,21.0,23.5
2024-12,Basmanny,CAO,554600,597300,2311,0.13,-0.02,50,47,113,21.0,23.5
2025-01,Basmanny,CAO,558500,603400,2327,0.71,1.02,174,5,30,21.0,23.5
2025-02,Basmanny,CAO,586400,635000,2443,4.99,5.23,35,18,115,21.0,23.5
2025-03,Basmanny,CAO,569500,642100,2373,-2.88,1.12,58,68,59,21.0,23.5
2025-04,Basmanny,CAO,564400,630400,2352,-0.89,-1.82,42,36,111,21.0,23.5
2025-05,Basmanny,CAO,556400,619600,2318,-1.42,-1.71,56,16,24,21.0,23.5
2025-06,Basmanny,CAO,546600,605800,2278,-1.75,-2.22,45,18,61,21.0,23.5
2025-07,Basmanny,CAO,588700,629800,2453,7.7,3.95,83,60,46,17.0,19.5
2025-08,Basmanny,CAO,561200,627500,2338,-4.68,-0.36,89,61,68,17.0,19.5
2025-09,Basmanny,CAO,572000,614400,2383,1.93,-2.09,150,59,27,17.0,19.5
2025-10,Basmanny,CAO,590000,654400,2458,3.14,6.51,95,59,97,17.0,19.5
2025-11,Basmanny,CAO,604400,675600,2518,2.44,3.25,96,65,60,17.0,19.5
2025-12,Basmanny,CAO,555100,573800,2313,-8.14,-15.07,188,44,23,17.0,19.5
2026-01,Basmanny,CAO,558900,591700,2329,0.67,3.11,82,53,37,17.0,19.5
2026-02,Basmanny,CAO,588500,642900,2452,5.31,8.67,178,43,103,17.0,19.5
2026-03,Basmanny,CAO,571600,630200,2382,-2.88,-1.98,65,47,45,17.0,19.5
2026-04,Basmanny,CAO,578100,652100,2409,1.13,3.47,58,72,103,17.0,19.5
2020-01,Zamoskvorechye,CAO,411600,464100,1715,,,134,15,66,6.0,8.5
2020-02,Zamoskvorechye,CAO,410700,454900,1711,-0.23,-1.97,196,31,12,6.0,8.5
2020-03,Zamoskvorechye,CAO,411700,443600,1715,0.25,-2.49,101,53,107,6.0,8.5
2020-04,Zamoskvorechye,CAO,402200,449000,1676,-2.29,1.22,196,56,22,4.25,6.75
2020-05,Zamoskvorechye,CAO,418100,451200,1742,3.93,0.48,46,74,96,4.25,6.75
2020-06,Zamoskvorechye,CAO,434900,482000,1812,4.03,6.83,101,34,106,4.25,6.75
2020-07,Zamoskvorechye,CAO,444800,484300,1853,2.27,0.48,34,5,24,4.25,6.75
2020-08,Zamoskvorechye,CAO,458600,508800,1911,3.11,5.07,169,45,91,4.25,6.75
2020-09,Zamoskvorechye,CAO,459200,517100,1913,0.12,1.64,37,9,27,4.25,6.75
2020-10,Zamoskvorechye,CAO,459900,508600,1916,0.15,-1.66,184,19,73,4.25,6.75
2020-11,Zamoskvorechye,CAO,465400,501400,1939,1.2,-1.41,135,41,49,4.25,6.75
2020-12,Zamoskvorechye,CAO,485000,542400,2021,4.22,8.16,148,48,94,4.25,6.75
2021-01,Zamoskvorechye,CAO,469500,512700,1956,-3.21,-5.47,140,75,116,4.25,6.75
2021-02,Zamoskvorechye,CAO,468800,527000,1953,-0.15,2.78,103,11,35,4.25,6.75
2021-03,Zamoskvorechye,CAO,481100,542700,2005,2.64,2.99,122,23,44,4.25,6.75
2021-04,Zamoskvorechye,CAO,527400,594700,2197,9.61,9.59,164,77,90,8.5,11.0
2021-05,Zamoskvorechye,CAO,499700,555400,2082,-5.25,-6.62,100,17,64,8.5,11.0
2021-06,Zamoskvorechye,CAO,519800,574700,2166,4.02,3.48,141,77,81,8.5,11.0
2021-07,Zamoskvorechye,CAO,537900,587800,2241,3.48,2.29,119,25,78,8.5,11.0
2021-08,Zamoskvorechye,CAO,525200,597000,2188,-2.36,1.56,88,77,79,8.5,11.0
2021-09,Zamoskvorechye,CAO,515200,560600,2147,-1.9,-6.09,62,76,49,8.5,11.0
2021-10,Zamoskvorechye,CAO,531000,572900,2212,3.07,2.19,150,39,86,8.5,11.0
2021-11,Zamoskvorechye,CAO,559500,618400,2331,5.37,7.94,136,6,36,8.5,11.0
2021-12,Zamoskvorechye,CAO,561100,618000,2338,0.28,-0.06,151,21,103,8.5,11.0
2022-01,Zamoskvorechye,CAO,585200,635400,2439,4.3,2.82,126,8,44,20.0,22.5
2022-02,Zamoskvorechye,CAO,553900,591200,2308,-5.35,-6.96,137,35,34,20.0,22.5
2022-03,Zamoskvorechye,CAO,527900,580100,2200,-4.69,-1.88,97,79,15,20.0,22.5
2022-04,Zamoskvorechye,CAO,520800,602100,2170,-1.34,3.78,135,6,109,9.5,12.0
2022-05,Zamoskvorechye,CAO,544800,596000,2270,4.6,-1.0,71,28,40,9.5,12.0
2022-06,Zamoskvorechye,CAO,527600,589600,2198,-3.16,-1.08,130,25,114,9.5,12.0
2022-07,Zamoskvorechye,CAO,574400,657800,2393,8.87,11.57,70,69,62,9.5,12.0
2022-08,Zamoskvorechye,CAO,550400,607400,2293,-4.18,-7.66,42,20,74,9.5,12.0
2022-09,Zamoskvorechye,CAO,545600,593900,2273,-0.87,-2.22,104,48,71,9.5,12.0
2022-10,Zamoskvorechye,CAO,580400,647700,2418,6.38,9.05,127,23,100,7.5,10.0
2022-11,Zamoskvorechye,CAO,566000,612600,2358,-2.48,-5.42,154,17,15,7.5,10.0
2022-12,Zamoskvorechye,CAO,596000,643400,2484,5.31,5.03,94,60,35,7.5,10.0
2023-01,Zamoskvorechye,CAO,590900,668300,2462,-0.86,3.87,185,58,85,7.5,10.0
2023-02,Zamoskvorechye,CAO,560000,632900,2333,-5.23,-5.3,109,64,70,7.5,10.0
2023-03,Zamoskvorechye,CAO,602500,674100,2510,7.58,6.52,28,72,106,7.5,10.0
2023-04,Zamoskvorechye,CAO,625200,669000,2605,3.77,-0.76,156,79,54,7.5,10.0
2023-05,Zamoskvorechye,CAO,618800,690400,2578,-1.03,3.19,101,55,93,7.5,10.0
2023-06,Zamoskvorechye,CAO,592300,672900,2468,-4.28,-2.54,50,68,33,7.5,10.0
2023-07,Zamoskvorechye,CAO,607300,645800,2531,2.54,-4.03,184,38,32,13.0,15.5
2023-08,Zamoskvorechye,CAO,622300,694200,2593,2.47,7.51,156,77,97,13.0,15.5
2023-09,Zamoskvorechye,CAO,618800,660900,2578,-0.58,-4.8,51,65,26,13.0,15.5
2023-10,Zamoskvorechye,CAO,616600,659100,2569,-0.35,-0.28,115,29,14,13.0,15.5
2023-11,Zamoskvorechye,CAO,607500,655000,2531,-1.48,-0.62,163,71,15,13.0,15.5
2023-12,Zamoskvorechye,CAO,592800,645500,2470,-2.42,-1.45,86,28,58,13.0,15.5
2024-01,Zamoskvorechye,CAO,605700,635700,2524,2.18,-1.51,31,49,24,16.0,18.5
2024-02,Zamoskvorechye,CAO,656600,697800,2736,8.4,9.76,138,46,106,16.0,18.5
2024-03,Zamoskvorechye,CAO,598000,665300,2492,-8.92,-4.66,158,60,66,16.0,18.5
2024-04,Zamoskvorechye,CAO,634700,704900,2644,6.13,5.96,191,61,111,16.0,18.5
2024-05,Zamoskvorechye,CAO,639800,704300,2666,0.81,-0.09,114,54,113,16.0,18.5
2024-06,Zamoskvorechye,CAO,628900,686300,2620,-1.71,-2.56,71,38,119,16.0,18.5
2024-07,Zamoskvorechye,CAO,627300,692500,2614,-0.25,0.91,123,25,34,16.0,18.5
2024-08,Zamoskvorechye,CAO,635000,694600,2646,1.23,0.31,112,54,38,16.0,18.5
2024-09,Zamoskvorechye,CAO,632000,694800,2633,-0.47,0.02,128,7,77,16.0,18.5
2024-10,Zamoskvorechye,CAO,631300,688800,2631,-0.11,-0.87,90,25,64,21.0,23.5
2024-11,Zamoskvorechye,CAO,622000,666800,2592,-1.47,-3.19,168,37,97,21.0,23.5
2024-12,Zamoskvorechye,CAO,594600,689400,2477,-4.42,3.4,121,28,102,21.0,23.5
2025-01,Zamoskvorechye,CAO,606400,688500,2527,1.99,-0.14,77,21,31,21.0,23.5
2025-02,Zamoskvorechye,CAO,610000,707100,2542,0.59,2.71,172,14,102,21.0,23.5
2025-03,Zamoskvorechye,CAO,634400,722600,2643,4.0,2.19,50,75,15,21.0,23.5
2025-04,Zamoskvorechye,CAO,585300,638700,2439,-7.74,-11.61,28,11,16,21.0,23.5
2025-05,Zamoskvorechye,CAO,578300,627500,2409,-1.2,-1.76,119,54,52,21.0,23.5
2025-06,Zamoskvorechye,CAO,631100,676400,2629,9.13,7.79,22,61,42,21.0,23.5
2025-07,Zamoskvorechye,CAO,611100,665500,2546,-3.17,-1.61,173,52,64,17.0,19.5
2025-08,Zamoskvorechye,CAO,653400,706600,2722,6.92,6.17,55,9,63,17.0,19.5
2025-09,Zamoskvorechye,CAO,638700,702600,2661,-2.24,-0.57,28,32,106,17.0,19.5
2025-10,Zamoskvorechye,CAO,612300,680900,2551,-4.14,-3.08,48,32,101,17.0,19.5
2025-11,Zamoskvorechye,CAO,652400,689000,2718,6.55,1.2,138,9,84,17.0,19.5
2025-12,Zamoskvorechye,CAO,617600,671800,2574,-5.33,-2.51,120,11,23,17.0,19.5
2026-01,Zamoskvorechye,CAO,657200,731500,2738,6.4,8.9,188,50,82,17.0,19.5
2026-02,Zamoskvorechye,CAO,640600,714200,2669,-2.53,-2.37,141,19,117,17.0,19.5
2026-03,Zamoskvorechye,CAO,617700,700600,2574,-3.58,-1.9,45,32,88,17.0,19.5
2026-04,Zamoskvorechye,CAO,637900,722200,2658,3.28,3.08,45,68,86,17.0,19.5
2020-01,Krasnoselsky,CAO,358800,392700,1495,,,115,27,66,6.0,8.5
2020-02,Krasnoselsky,CAO,376700,415500,1570,4.98,5.82,160,33,51,6.0,8.5
2020-03,Krasnoselsky,CAO,367000,403400,1529,-2.59,-2.92,151,19,107,6.0,8.5
2020-04,Krasnoselsky,CAO,357700,389700,1491,-2.52,-3.39,178,67,40,4.25,6.75
2020-05,Krasnoselsky,CAO,390900,429700,1629,9.27,10.27,104,46,24,4.25,6.75
2020-06,Krasnoselsky,CAO,368700,412700,1536,-5.68,-3.96,103,79,56,4.25,6.75
2020-07,Krasnoselsky,CAO,380000,419500,1583,3.08,1.65,54,67,39,4.25,6.75
2020-08,Krasnoselsky,CAO,377800,410600,1574,-0.58,-2.12,40,60,38,4.25,6.75
2020-09,Krasnoselsky,CAO,388600,439800,1619,2.85,7.09,34,39,32,4.25,6.75
2020-10,Krasnoselsky,CAO,405000,435900,1687,4.21,-0.89,101,61,99,4.25,6.75
2020-11,Krasnoselsky,CAO,400600,437400,1669,-1.06,0.35,180,22,34,4.25,6.75
2020-12,Krasnoselsky,CAO,426500,474900,1777,6.46,8.59,94,24,87,4.25,6.75
2021-01,Krasnoselsky,CAO,423300,467400,1764,-0.75,-1.58,140,68,53,4.25,6.75
2021-02,Krasnoselsky,CAO,422100,457000,1759,-0.29,-2.24,183,66,95,4.25,6.75
2021-03,Krasnoselsky,CAO,417300,467300,1739,-1.13,2.26,57,31,118,4.25,6.75
2021-04,Krasnoselsky,CAO,439500,482200,1831,5.3,3.18,81,43,33,8.5,11.0
2021-05,Krasnoselsky,CAO,437800,493000,1824,-0.38,2.26,37,49,49,8.5,11.0
2021-06,Krasnoselsky,CAO,447700,472300,1865,2.27,-4.21,60,33,19,8.5,11.0
2021-07,Krasnoselsky,CAO,423700,458400,1765,-5.36,-2.95,73,46,109,8.5,11.0
2021-08,Krasnoselsky,CAO,459600,494700,1915,8.48,7.93,114,40,23,8.5,11.0
2021-09,Krasnoselsky,CAO,464800,516900,1937,1.13,4.49,159,21,99,8.5,11.0
2021-10,Krasnoselsky,CAO,483700,518500,2015,4.06,0.31,94,23,69,8.5,11.0
2021-11,Krasnoselsky,CAO,477500,512100,1990,-1.28,-1.24,42,79,33,8.5,11.0
2021-12,Krasnoselsky,CAO,487400,521100,2031,2.08,1.75,61,49,39,8.5,11.0
2022-01,Krasnoselsky,CAO,490700,538900,2045,0.67,3.42,51,48,87,20.0,22.5
2022-02,Krasnoselsky,CAO,464900,505700,1937,-5.27,-6.16,157,62,119,20.0,22.5
2022-03,Krasnoselsky,CAO,464900,521200,1937,0.0,3.07,169,6,86,20.0,22.5
2022-04,Krasnoselsky,CAO,463800,509000,1932,-0.24,-2.34,173,15,65,9.5,12.0
2022-05,Krasnoselsky,CAO,478800,502600,1995,3.25,-1.26,199,49,21,9.5,12.0
2022-06,Krasnoselsky,CAO,471700,507300,1965,-1.5,0.92,193,26,115,9.5,12.0
2022-07,Krasnoselsky,CAO,473400,491900,1973,0.37,-3.03,148,53,22,9.5,12.0
2022-08,Krasnoselsky,CAO,490400,532200,2043,3.59,8.19,27,30,23,9.5,12.0
2022-09,Krasnoselsky,CAO,494000,541600,2058,0.73,1.77,170,59,113,9.5,12.0
2022-10,Krasnoselsky,CAO,490800,522200,2045,-0.64,-3.59,101,11,90,7.5,10.0
2022-11,Krasnoselsky,CAO,479200,528300,1997,-2.37,1.17,107,40,33,7.5,10.0
2022-12,Krasnoselsky,CAO,485000,516000,2021,1.21,-2.33,67,52,72,7.5,10.0
2023-01,Krasnoselsky,CAO,535400,583100,2231,10.39,13.01,143,56,86,7.5,10.0
2023-02,Krasnoselsky,CAO,509800,570100,2124,-4.78,-2.24,69,44,59,7.5,10.0
2023-03,Krasnoselsky,CAO,498400,542900,2077,-2.23,-4.77,67,5,106,7.5,10.0
2023-04,Krasnoselsky,CAO,494500,540200,2060,-0.79,-0.49,149,15,50,7.5,10.0
2023-05,Krasnoselsky,CAO,525900,595300,2191,6.36,10.2,53,22,117,7.5,10.0
2023-06,Krasnoselsky,CAO,513500,575000,2140,-2.35,-3.41,64,31,114,7.5,10.0
2023-07,Krasnoselsky,CAO,519400,584000,2164,1.14,1.57,114,7,104,13.0,15.5
2023-08,Krasnoselsky,CAO,522900,585200,2179,0.67,0.2,33,7,38,13.0,15.5
2023-09,Krasnoselsky,CAO,521400,557500,2173,-0.28,-4.74,116,18,14,13.0,15.5
2023-10,Krasnoselsky,CAO,527100,557300,2196,1.09,-0.04,180,36,116,13.0,15.5
2023-11,Krasnoselsky,CAO,546200,619100,2276,3.63,11.1,136,32,33,13.0,15.5
2023-12,Krasnoselsky,CAO,535800,585600,2232,-1.91,-5.42,27,75,32,13.0,15.5
2024-01,Krasnoselsky,CAO,528000,586400,2200,-1.44,0.15,22,13,51,16.0,18.5
2024-02,Krasnoselsky,CAO,563900,602700,2350,6.79,2.78,186,47,103,16.0,18.5
2024-03,Krasnoselsky,CAO,537700,595400,2240,-4.65,-1.22,183,47,30,16.0,18.5
2024-04,Krasnoselsky,CAO,555400,633500,2314,3.29,6.4,97,69,15,16.0,18.5
2024-05,Krasnoselsky,CAO,552400,591100,2302,-0.53,-6.69,187,58,57,16.0,18.5
2024-06,Krasnoselsky,CAO,537000,591400,2237,-2.79,0.05,148,42,10,16.0,18.5
2024-07,Krasnoselsky,CAO,544100,592300,2267,1.32,0.16,102,68,22,16.0,18.5
2024-08,Krasnoselsky,CAO,560900,649100,2337,3.1,9.58,23,74,34,16.0,18.5
