id,date_posted,district,okrug,lat,lon,total_area,rooms,floor,total_floors,building_year,building_type,renovation,furnished,pets_allowed,deposit_months,metro_station,metro_line,metro_distance_min,to_center_km,monthly_rent_rub,rent_per_sqm
R000014,2025-12-29,Mosrentgen,NAO,55.60219,37.51477,42.6,1,5,9,1975,panel,euro,True,False,1,Tyoply Stan,Kaluzhsko-Rizhskaya,7,18.13,44500,1044
R000015,2021-01-30,Babushkinsky,SVAO,55.84901,37.655,59.0,2,4,5,2012,monolith,euro,True,True,1,Shchyolkovskaya,Arbatsko-Pokrovskaya,126,10.79,47500,806
R000016,2021-07-17,Meshchansky,CAO,55.79133,37.60736,59.4,2,21,22,1986,panel,euro,True,True,1,Sukharevskaya,Kaluzhsko-Rizhskaya,14,4.25,92500,1557
R000017,2023-03-12,Otradnoye,SVAO,55.88187,37.63338,67.0,3,7,12,2010,modern_panel,euro,False,False,1,Mayakovskaya,Zamoskvoretskaya,132,14.25,55300,825
R000018,2021-04-23,Yaroslavsky,SVAO,55.8986,37.6703,51.4,1,5,9,1978,panel,cosmetic,False,True,2,Turgenevskaya,Kaluzhsko-Rizhskaya,153,16.38,24600,478
R000019,2022-11-21,Sviblovo,SVAO,55.85168,37.6471,36.9,1,13,22,1970,khrushchev,euro,True,True,2,Sokolniki,Sokolnicheskaya,92,11.0,27800,754
R000020,2021-04-27,Losinoostrovsky,SVAO,55.87711,37.68063,56.1,2,5,9,2007,brick,no_renovation,True,False,1,Pervomayskaya,Arbatsko-Pokrovskaya,129,14.2,35900,640
R000021,2026-01-13,Lomonosovsky,YuZAO,55.69705,37.52573,65.5,2,9,12,1963,khrushchev,cosmetic,True,True,2,Profsoyuznaya,Kaluzhsko-Rizhskaya,26,8.68,81200,1240
R000022,2024-10-27,Novofyodorovskoye,TAO,55.34394,36.93225,52.0,2,1,5,1966,khrushchev,cosmetic,True,False,1,Proletarskaya,Tagansko-Krasnopresnenskaya,765,62.88,12800,246
R000023,2025-02-25,Otradnoye,SVAO,55.85344,37.57571,77.6,3,9,9,1995,panel,cosmetic,True,False,0,Pushkinskaya,Tagansko-Krasnopresnenskaya,135,11.42,56900,733
R000024,2025-10-31,Zyuzino,YuZAO,55.6517,37.56768,45.0,1,5,9,1968,brick,euro,True,True,2,Kakhovskaya,Bolshaya Koltsevaya,17,11.84,74000,1644
R000025,2021-03-28,Levoberezhny,SAO,55.87603,37.46972,83.8,3,5,9,1980,panel,euro,False,True,1,Taganskaya,Koltsevaya,209,16.54,52300,624
R000026,2026-04-09,Krasnoselsky,CAO,55.77772,37.65814,67.0,3,16,22,1958,khrushchev,cosmetic,True,False,1,Bagrationovskaya,Filyovskaya,120,3.53,81000,1209
R000027,2023-07-19,Kievsky,TAO,55.38691,36.7541,53.1,1,1,5,1972,panel,designer,True,False,1,Leninsky Prospekt,Kaluzhsko-Rizhskaya,749,68.07,22200,419
R000028,2024-05-15,Severnoye Medvedkovo,SVAO,55.88297,37.64154,56.5,2,4,12,2015,modern_panel,cosmetic,True,True,2,Okhotny Ryad,Sokolnicheskaya,174,14.41,46700,827
R000029,2022-01-01,Moskovsky,NAO,55.60049,37.32986,32.5,1,5,5,2014,monolith,euro,True,True,0,Strogino,Arbatsko-Pokrovskaya,277,24.97,21600,663
R000030,2026-04-21,Savyolovsky,SAO,55.78879,37.58979,78.7,3,2,22,2007,modern_panel,no_renovation,False,False,1,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,34,4.34,60200,765
R000031,2021-01-15,Ramenki,ZAO,55.71091,37.46799,69.2,2,8,9,2013,modern_panel,euro,False,True,2,Tretyakovskaya,Kalininskaya,109,10.69,78800,1139
R000032,2024-03-03,Obruchevsky,YuZAO,55.66205,37.55312,64.8,2,2,9,1969,khrushchev,cosmetic,True,False,1,Kakhovskaya,Bolshaya Koltsevaya,39,11.06,51700,797
R000033,2022-08-15,Solntsevo,ZAO,55.65555,37.40444,56.8,2,3,9,2007,monolith,cosmetic,True,False,1,VDNKh,Kaluzhsko-Rizhskaya,295,17.42,44000,775
R000034,2022-11-03,Orekhovo-Borisovo Severnoye,YuAO,55.62119,37.72604,45.8,1,3,5,2007,modern_panel,euro,True,False,0,Trubnaya,Lyublinsko-Dmitrovskaya,206,16.16,32700,715
R000035,2023-09-25,Tyoply Stan,YuZAO,55.60925,37.47345,43.3,1,5,22,1935,stalin,cosmetic,True,False,2,Bagrationovskaya,Filyovskaya,168,18.55,45200,1044
R000036,2022-09-04,Ramenki,ZAO,55.70178,37.49565,42.1,1,5,17,2003,brick,cosmetic,True,False,1,Slavyansky Bulvar,Arbatsko-Pokrovskaya,44,9.75,58600,1391
R000037,2022-02-12,Losinoostrovsky,SVAO,55.87006,37.68851,53.9,1,3,9,2003,brick,euro,True,False,2,Dostoevskaya,Lyublinsko-Dmitrovskaya,149,13.59,44700,829
R000038,2024-06-09,Filyovsky Park,ZAO,55.71337,37.51551,82.4,4,1,5,1954,stalin,cosmetic,True,False,1,Slavyansky Bulvar,Arbatsko-Pokrovskaya,26,7.99,121300,1472
R000039,2023-09-27,Mosrentgen,NAO,55.62556,37.48498,40.4,1,1,17,2006,monolith,cosmetic,True,False,2,Studencheskaya,Filyovskaya,176,16.62,28000,694
R000040,2023-07-11,Cheryomushki,YuZAO,55.68062,37.55253,50.0,1,12,22,1992,brick,cosmetic,True,False,1,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,45,9.2,52700,1055
R000041,2025-08-15,Voykovsky,SAO,55.82042,37.49874,48.1,1,2,12,2003,monolith,designer,True,False,2,Voykovskaya,Zamoskvoretskaya,8,10.63,91200,1896
R000042,2024-03-27,Severnoye Butovo,YuZAO,55.57828,37.58606,60.8,2,5,12,2018,modern_panel,designer,False,True,1,Troparyovo,Sokolnicheskaya,126,19.65,62500,1028
R000043,2023-10-30,Voskresenskoye,NAO,55.59314,37.41262,41.5,1,5,9,1973,panel,no_renovation,True,False,1,Semyonovskaya,Arbatsko-Pokrovskaya,362,22.13,21300,512
R000044,2026-01-30,Vnukovskoye,NAO,55.63567,37.32461,38.2,1,12,12,2022,modern_panel,cosmetic,True,False,1,Universitet,Sokolnicheskaya,174,22.75,23600,617
R000045,2025-05-29,Nagorny,YuAO,55.64963,37.63356,58.8,2,6,17,2004,modern_panel,euro,False,False,1,Kakhovskaya,Bolshaya Koltsevaya,31,11.62,51100,870
R000046,2023-06-17,Kotlovka,YuZAO,55.68374,37.60227,54.7,1,9,9,1998,brick,cosmetic,False,False,1,Nagatinskaya,Serpukhovsko-Timiryazevskaya,41,7.89,52600,961
R000047,2025-11-01,Donskoy,YuAO,55.71245,37.62118,56.8,2,7,12,1985,panel,cosmetic,True,True,1,Smolenskaya (F),Filyovskaya,56,4.61,45500,801
R000048,2024-12-17,Golyanovo,VAO,55.82373,37.77308,41.8,1,9,9,1938,stalin,cosmetic,True,False,1,Shosse Entuziastov,Kalininskaya,88,12.29,37100,887
R000049,2022-06-13,Sosenskoye,NAO,55.5677,37.40025,53.9,2,1,5,1995,panel,no_renovation,False,False,1,Sretensky Bulvar,Lyublinsko-Dmitrovskaya,321,24.9,22600,420
R000050,2021-06-15,Yakimanka,CAO,55.73283,37.59708,63.8,2,7,9,1957,brick,no_renovation,False,False,1,Oktyabrskaya,Koltsevaya,8,2.77,119600,1875
R000051,2022-11-05,Lomonosovsky,YuZAO,55.67841,37.53194,55.2,2,5,5,1982,panel,euro,True,False,0,Universitet,Sokolnicheskaya,7,10.07,119200,2159
R000052,2025-06-01,Biryulyovo Vostochnoye,YuAO,55.57479,37.67591,50.5,2,7,9,2018,modern_panel,cosmetic,True,True,1,Kutuzovskaya,Filyovskaya,234,20.21,28900,572
R000053,2024-12-31,Brateyevo,YuAO,55.63029,37.771,38.1,2,2,9,1972,khrushchev,cosmetic,False,False,1,Kantemirovskaya,Zamoskvoretskaya,75,16.66,18200,477
R000054,2025-11-12,Krylatskoye,SZAO,55.75083,37.41623,66.8,3,4,17,2007,monolith,cosmetic,True,False,2,Strogino,Arbatsko-Pokrovskaya,60,12.81,94400,1413
R000055,2024-01-12,Danilovsky,YuAO,55.69039,37.63617,56.4,2,8,9,2006,modern_panel,cosmetic,True,False,0,Tulskaya,Serpukhovsko-Timiryazevskaya,15,7.13,64500,1143
R000056,2024-08-19,Ochakovo-Matveyevskoye,ZAO,55.67714,37.47362,57.0,1,1,5,1983,panel,cosmetic,True,False,2,Universitet,Sokolnicheskaya,55,12.56,51000,894
R000057,2025-03-06,Donskoy,YuAO,55.72174,37.61165,48.9,1,1,12,1965,brick,cosmetic,True,False,1,Fili,Filyovskaya,89,3.62,49300,1007
R000058,2022-06-10,Marushkinskoye,NAO,55.56785,37.24613,49.4,1,1,5,2009,modern_panel,euro,False,True,1,Borovitskaya,Serpukhovsko-Timiryazevskaya,362,31.31,18000,364
R000059,2022-04-22,Tagansky,CAO,55.72213,37.6494,62.0,2,5,9,1994,panel,euro,True,False,1,Ploshchad Revolyutsii,Arbatsko-Pokrovskaya,43,3.96,86200,1390
R000060,2022-02-14,Golyanovo,VAO,55.82137,37.79539,39.9,1,14,17,1966,khrushchev,designer,True,True,2,Shchyolkovskaya,Arbatsko-Pokrovskaya,16,13.25,34300,859
R000061,2025-07-15,Moskvorechye-Saburovo,YuAO,55.64846,37.61427,56.8,1,10,12,1967,khrushchev,no_renovation,False,False,1,Kropotkinskaya,Sokolnicheskaya,140,11.73,29800,525
R000062,2025-08-27,Mitino,SZAO,55.83876,37.35783,43.9,2,5,9,2021,modern_panel,cosmetic,False,True,0,Ploshchad Ilyicha,Kalininskaya,276,18.95,35400,806
R000063,2023-02-07,Novofyodorovskoye,TAO,55.34445,36.96031,67.9,2,6,9,2023,monolith,euro,True,False,1,Smolenskaya (F),Filyovskaya,736,61.63,26300,387
R000064,2022-09-23,Savyolovsky,SAO,55.79639,37.58468,58.5,1,3,9,2021,monolith,euro,True,False,1,Park Kultury,Koltsevaya,84,5.24,68800,1176
R000065,2021-09-02,Krasnopakhorskoye,TAO,55.4256,37.32439,57.8,2,4,9,2007,monolith,cosmetic,True,False,1,Frunzenskaya,Sokolnicheskaya,443,40.98,19100,330
R000066,2021-05-27,Akademichesky,YuZAO,55.68929,37.61049,54.3,1,8,17,2024,modern_panel,cosmetic,False,False,1,Profsoyuznaya,Kaluzhsko-Rizhskaya,16,7.21,67700,1246
R000067,2021-07-13,Meshchansky,CAO,55.77311,37.64395,50.8,1,7,17,1960,khrushchev,cosmetic,True,False,2,Taganskaya,Koltsevaya,49,2.58,54500,1072
R000068,2026-01-31,Fili-Davydkovo,ZAO,55.753,37.45699,58.6,2,8,12,1970,panel,no_renovation,True,True,1,Pionerskaya,Filyovskaya,19,10.25,73300,1251
R000069,2022-03-28,Lomonosovsky,YuZAO,55.69583,37.58217,52.1,1,5,9,1991,brick,designer,True,False,2,Taganskaya,Koltsevaya,111,6.9,89100,1710
R000070,2021-03-26,Butyrsky,SVAO,55.81608,37.59754,68.0,3,5,5,2008,monolith,euro,True,False,1,Sretensky Bulvar,Lyublinsko-Dmitrovskaya,77,7.07,61300,901
R000071,2021-04-11,Severnoye Butovo,YuZAO,55.57823,37.58756,57.3,2,1,9,2015,modern_panel,euro,True,False,1,Vystavochnaya,Filyovskaya,230,19.64,45500,794
R000072,2024-04-06,Lomonosovsky,YuZAO,55.71316,37.54596,59.4,2,2,5,2005,monolith,cosmetic,False,False,1,Tulskaya,Serpukhovsko-Timiryazevskaya,64,6.52,88500,1491
R000073,2023-05-23,Ryazanovskoye,NAO,55.47461,37.50062,39.9,1,13,17,2009,modern_panel,no_renovation,False,False,1,Kuznetsky Most,Tagansko-Krasnopresnenskaya,398,31.96,15900,400
R000074,2023-04-01,Alekseevsky,SVAO,55.7983,37.62319,65.0,2,3,17,2014,monolith,cosmetic,False,False,1,Lubyanka,Sokolnicheskaya,70,4.94,61100,940
R000075,2022-09-29,Shchapovskoye,TAO,55.36193,37.52207,41.5,1,9,22,1983,brick,euro,True,False,1,Polyanka,Serpukhovsko-Timiryazevskaya,491,44.03,14300,344
R000076,2024-09-01,Krasnopakhorskoye,TAO,55.42901,37.3183,33.4,1,3,22,1983,brick,euro,True,False,2,Kakhovskaya,Bolshaya Koltsevaya,361,40.82,14400,431
R000077,2025-01-20,Moskovsky,NAO,55.60531,37.35657,69.9,3,6,12,2006,modern_panel,cosmetic,True,True,1,Sokolniki,Sokolnicheskaya,355,23.4,44300,633
R000078,2021-05-27,Shcherbinka,NAO,55.49273,37.56487,44.3,1,3,9,2015,modern_panel,euro,True,False,1,Ugreshskaya,MCC,287,29.25,23800,536
R000079,2026-02-13,Khoroshyovsky,SAO,55.77432,37.51069,53.5,2,5,17,1972,panel,euro,True,True,1,Polezhaevskaya,Tagansko-Krasnopresnenskaya,12,7.25,68700,1284
R000080,2021-05-29,Klyonovskoye,TAO,55.26667,37.48508,38.5,1,4,12,2005,brick,no_renovation,True,False,1,Ugreshskaya,MCC,612,54.85,9400,244
R000081,2024-08-13,Filyovsky Park,ZAO,55.74351,37.49231,41.1,1,3,5,1961,khrushchev,euro,True,False,0,Shchukinskaya,Tagansko-Krasnopresnenskaya,87,8.12,46900,1141
R000082,2022-01-12,Sokolniki,VAO,55.79681,37.70996,41.2,1,2,9,1941,stalin,cosmetic,True,True,1,Sokolniki,Sokolnicheskaya,6,7.34,63900,1551
R000083,2023-06-29,Shchapovskoye,TAO,55.35657,37.52557,48.1,2,9,22,2023,modern_panel,euro,False,False,1,Tulskaya,Serpukhovsko-Timiryazevskaya,458,44.59,16400,341
R000084,2021-11-29,Mitino,SZAO,55.84816,37.38916,36.9,1,5,9,2022,modern_panel,cosmetic,True,False,1,Pyatnitskoye Shosse,Arbatsko-Pokrovskaya,10,17.87,44300,1201
R000085,2022-01-09,Klyonovskoye,TAO,55.25929,37.47296,52.9,1,10,12,2019,modern_panel,euro,False,False,1,Lubyanka,Sokolnicheskaya,671,55.78,13800,261
R000086,2024-04-11,Basmanny,CAO,55.77797,37.69685,69.0,4,1,5,2019,modern_panel,no_renovation,True,False,2,Kievskaya,Koltsevaya,88,5.46,95500,1384
R000087,2026-03-20,Severnoye Tushino,SZAO,55.8704,37.39755,39.0,1,5,5,1978,panel,euro,True,False,1,Rechnoy Vokzal,Zamoskvoretskaya,34,19.04,42100,1079
R000088,2023-02-01,Yaroslavsky,SVAO,55.86667,37.73083,52.7,2,5,5,1971,khrushchev,cosmetic,True,False,1,Partizanskaya,Arbatsko-Pokrovskaya,117,14.3,32500,616
R000089,2022-10-12,Golovinsky,SAO,55.84193,37.49937,48.5,1,17,17,1991,brick,euro,True,False,2,Elektrozavodskaya,Arbatsko-Pokrovskaya,177,12.39,38400,791
R000090,2024-02-23,Ramenki,ZAO,55.70611,37.50837,85.7,4,9,17,1954,stalin,designer,True,True,2,Fili,Filyovskaya,55,8.82,200900,2344
R000091,2023-11-11,Nagatinsky Zaton,YuAO,55.69119,37.69528,54.7,2,5,5,2020,monolith,cosmetic,True,False,2,Nagatinskaya,Serpukhovsko-Timiryazevskaya,37,8.39,53500,978
R000092,2024-05-14,Khoroshyovo-Mnyovniki,SZAO,55.78257,37.46292,87.2,4,4,5,2005,monolith,cosmetic,True,False,1,Smolenskaya (F),Filyovskaya,95,10.38,127900,1467
R000093,2023-01-04,Altufyevsky,SVAO,55.89613,37.55625,64.6,2,15,22,2019,monolith,cosmetic,True,False,1,Yuzhnaya,Serpukhovsko-Timiryazevskaya,368,16.32,44300,685
R000094,2022-03-08,Lianozovo,SVAO,55.88181,37.60968,47.2,2,3,22,1941,stalin,cosmetic,True,False,1,Profsoyuznaya,Kaluzhsko-Rizhskaya,303,14.24,38800,822
R000095,2023-09-02,Vostochnoye Izmaylovo,VAO,55.80267,37.82812,32.5,1,2,22,1985,panel,no_renovation,False,False,0,Pervomayskaya,Arbatsko-Pokrovskaya,21,14.05,22600,697
R000096,2022-05-06,Orekhovo-Borisovo Severnoye,YuAO,55.62349,37.68934,48.8,2,4,9,1968,khrushchev,euro,True,False,1,Kantemirovskaya,Zamoskvoretskaya,44,15.12,25500,522
R000097,2021-07-25,Novofyodorovskoye,TAO,55.33552,36.92435,42.5,1,3,5,1984,brick,cosmetic,True,False,1,Krasnopresnenskaya,Koltsevaya,749,63.9,12400,293
R000098,2026-01-31,Kuntsevo,ZAO,55.73801,37.404,60.1,2,2,5,2016,monolith,euro,True,True,1,Fili,Filyovskaya,66,13.68,83400,1388
R000099,2024-03-11,Altufyevsky,SVAO,55.89698,37.5923,36.3,1,12,12,1960,khrushchev,cosmetic,True,True,2,Taganskaya,Koltsevaya,204,16.01,17500,483
R000100,2023-08-14,Altufyevsky,SVAO,55.91732,37.5884,53.3,2,1,5,2018,modern_panel,euro,True,False,2,VDNKh,Kaluzhsko-Rizhskaya,99,18.28,45400,851
R000101,2024-10-29,Molzhaninovsky,SAO,55.9681,37.38233,42.0,1,1,5,2019,monolith,cosmetic,False,False,1,Pyatnitskoye Shosse,Arbatsko-Pokrovskaya,140,28.08,23800,566
R000102,2024-11-24,Nagorny,YuAO,55.68036,37.64449,48.8,2,4,9,1965,khrushchev,euro,False,False,1,Nagornaya,Serpukhovsko-Timiryazevskaya,8,8.31,51200,1049
R000103,2022-02-16,Golyanovo,VAO,55.8455,37.80101,36.2,1,3,22,2022,modern_panel,cosmetic,True,True,1,Kozhukhovskaya,Lyublinsko-Dmitrovskaya,175,15.19,23100,639
R000104,2022-04-30,Zapadnoye Degunino,SAO,55.83017,37.50946,43.1,1,1,9,2001,modern_panel,no_renovation,True,True,1,Belorusskaya,Koltsevaya,120,10.97,27700,643
R000105,2024-10-27,Presnensky,CAO,55.76,37.58753,59.2,3,3,5,1967,panel,cosmetic,True,True,1,Krasnopresnenskaya,Koltsevaya,4,2.19,148600,2511
R000106,2024-05-09,Cheryomushki,YuZAO,55.66027,37.5393,82.9,4,12,17,1976,panel,euro,True,False,2,Novye Cheryomushki,Kaluzhsko-Rizhskaya,5,11.6,116900,1411
R000107,2023-01-15,Otradnoye,SVAO,55.85612,37.56667,47.0,1,2,9,1986,brick,euro,True,False,1,Pionerskaya,Filyovskaya,196,11.86,38400,817
R000108,2025-06-24,Vnukovo,ZAO,55.66243,37.24405,62.8,3,1,5,1960,khrushchev,euro,True,False,1,Slavyansky Bulvar,Arbatsko-Pokrovskaya,194,25.7,48100,766
R000109,2021-06-08,Voskresenskoye,NAO,55.58026,37.41977,50.5,1,5,5,2017,modern_panel,cosmetic,False,False,1,Lubyanka,Sokolnicheskaya,294,23.06,23500,465
R000110,2025-02-10,Filimonkovskoye,NAO,55.5628,37.39566,49.6,1,9,9,1966,khrushchev,cosmetic,True,False,1,Tsvetnoy Bulvar,Serpukhovsko-Timiryazevskaya,333,25.51,21900,442
R000111,2023-04-23,Timiryazevsky,SAO,55.81707,37.57498,57.4,2,5,5,1952,brick,no_renovation,False,True,1,Elektrozavodskaya,Arbatsko-Pokrovskaya,116,7.59,40700,709
R000112,2025-01-18,Molzhaninovsky,SAO,55.93257,37.43202,46.9,1,7,17,1958,stalin,euro,False,False,1,Sportivnaya,Sokolnicheskaya,329,23.1,38600,824
R000113,2022-08-20,Dorogomilovo,ZAO,55.74582,37.52784,44.3,2,11,17,2018,modern_panel,euro,True,False,1,Vystavochnaya,Filyovskaya,22,5.89,75800,1711
R000114,2025-08-26,Sokolniki,VAO,55.80153,37.66547,66.2,2,9,9,1965,khrushchev,cosmetic,True,False,1,Ulitsa Podbelskogo,Sokolnicheskaya,52,5.99,49100,742
R000115,2025-02-05,Moskovsky,NAO,55.62156,37.35705,52.8,2,12,17,1971,khrushchev,cosmetic,True,False,2,Mendeleevskaya,Serpukhovsko-Timiryazevskaya,307,22.13,23700,449
R000116,2023-10-20,Vnukovo,ZAO,55.61995,37.29453,46.3,1,3,17,2015,modern_panel,euro,True,False,2,Vystavochnaya,Filyovskaya,248,25.3,43300,935
R000117,2022-02-04,Butyrsky,SVAO,55.81597,37.59731,39.2,1,8,12,2021,modern_panel,designer,False,False,2,Chistye Prudy,Sokolnicheskaya,80,7.06,43300,1104
R000118,2021-09-19,Rogovskoye,TAO,55.26106,37.0511,36.2,1,7,9,1988,brick,euro,True,False,1,Krasnopresnenskaya,Koltsevaya,776,65.5,9900,275
R000119,2023-12-23,Mosrentgen,NAO,55.62384,37.50227,38.1,1,11,17,1998,brick,euro,True,True,1,Tyoply Stan,Kaluzhsko-Rizhskaya,11,16.26,40400,1059
R000120,2026-02-14,Moskovsky,NAO,55.58903,37.33177,42.2,1,7,9,1974,panel,cosmetic,True,False,1,Leninsky Prospekt,Kaluzhsko-Rizhskaya,225,25.78,26200,620
R000121,2023-10-16,Yakimanka,CAO,55.72837,37.59987,73.1,2,16,22,1990,brick,euro,False,True,1,Oktyabrskaya,Koltsevaya,4,3.13,207700,2841
R000122,2024-03-18,Vostochny,VAO,55.80346,37.85368,42.2,1,5,5,2023,modern_panel,euro,False,False,1,Sokolniki,Sokolnicheskaya,142,15.57,28700,681
R000123,2026-03-25,Novo-Peredelkino,ZAO,55.65977,37.32407,51.2,2,4,9,1986,panel,cosmetic,True,False,1,Kakhovskaya,Bolshaya Koltsevaya,186,21.33,37200,726
R000124,2026-03-17,Cheryomushki,YuZAO,55.66784,37.53977,42.1,1,4,9,1997,brick,cosmetic,True,False,1,Novye Cheryomushki,Kaluzhsko-Rizhskaya,7,10.83,71700,1702
R000125,2021-08-05,Sokol,SAO,55.81644,37.52952,40.8,2,17,22,1965,khrushchev,euro,True,False,1,Sokol,Zamoskvoretskaya,4,9.0,57800,1416
R000126,2021-02-12,Yuzhnoye Tushino,SZAO,55.82881,37.45626,45.1,1,1,17,2005,brick,cosmetic,False,True,1,Rechnoy Vokzal,Zamoskvoretskaya,35,13.24,32800,727
R000127,2021-09-02,Severnoye Butovo,YuZAO,55.58943,37.59037,45.1,1,3,5,1999,brick,euro,False,False,2,Yuzhnaya,Serpukhovsko-Timiryazevskaya,50,18.39,32900,730
R000128,2021-06-01,Ostankinsky,SVAO,55.83338,37.59891,81.5,3,3,9,2002,monolith,euro,False,False,1,Krasnopresnenskaya,Koltsevaya,91,8.94,78300,960
R000129,2024-09-25,Basmanny,CAO,55.75741,37.65264,51.7,1,2,5,1987,panel,euro,True,False,1,Dostoevskaya,Lyublinsko-Dmitrovskaya,53,2.03,101500,1963
R000130,2025-02-07,Kurkino,SZAO,55.88528,37.35884,51.7,1,18,22,1937,stalin,cosmetic,False,True,1,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,355,21.94,51000,987
R000131,2022-09-06,Yuzhnoye Medvedkovo,SVAO,55.89991,37.63455,50.5,2,4,5,1985,panel,euro,True,False,1,Sokol,Zamoskvoretskaya,135,16.26,40300,797
R000132,2023-01-19,Golyanovo,VAO,55.81303,37.78407,43.9,1,15,22,2023,monolith,cosmetic,True,False,1,Shosse Entuziastov,Kalininskaya,90,12.14,35600,812
R000133,2024-02-19,Filimonkovskoye,NAO,55.55941,37.40071,47.4,1,4,17,2024,monolith,cosmetic,True,True,1,Sukharevskaya,Kaluzhsko-Rizhskaya,337,25.66,23900,504
R000134,2023-07-15,Maryina Roshcha,SVAO,55.77118,37.58831,59.6,2,8,9,1970,brick,euro,False,False,1,Begovaya,Tagansko-Krasnopresnenskaya,54,2.8,64700,1085
R000135,2024-12-13,Begovoy,SAO,55.76809,37.57125,40.3,1,4,9,1963,khrushchev,euro,True,False,1,Dinamo,Zamoskvoretskaya,8,3.48,64400,1598
R000136,2022-10-12,Severnoye Medvedkovo,SVAO,55.90477,37.649,47.7,1,6,12,1967,khrushchev,cosmetic,True,True,2,Arbatskaya (F),Filyovskaya,182,16.87,30400,637
R000137,2021-12-16,Donskoy,YuAO,55.72733,37.62282,36.2,1,1,9,1984,panel,cosmetic,True,False,1,Tulskaya,Serpukhovsko-Timiryazevskaya,12,2.96,43700,1208
R000138,2024-03-13,Otradnoye,SVAO,55.85986,37.64097,55.9,2,20,22,1989,brick,cosmetic,True,False,0,Arbatskaya (F),Filyovskaya,155,11.85,45900,820
R000139,2022-12-12,Khamovniki,CAO,55.73993,37.5777,50.1,1,5,22,1962,khrushchev,cosmetic,True,False,1,Park Kultury,Koltsevaya,11,3.11,128000,2554
R000140,2024-07-27,Arbat,CAO,55.76112,37.58762,48.5,1,12,12,1967,panel,cosmetic,True,True,1,Smolenskaya (F),Filyovskaya,12,2.23,125100,2580
R000141,2022-02-02,Perovo,VAO,55.77137,37.77524,71.0,3,10,12,1971,brick,cosmetic,True,False,2,Perovo,Kalininskaya,2,9.86,73200,1031
R000142,2023-01-12,Butyrsky,SVAO,55.821,37.58006,55.8,2,8,9,1955,brick,cosmetic,False,False,1,Kutuzovskaya,Filyovskaya,115,7.88,43800,785
R000143,2023-05-22,Moskovsky,NAO,55.60734,37.32308,66.3,2,1,5,1960,brick,euro,True,True,1,Tsvetnoy Bulvar,Serpukhovsko-Timiryazevskaya,306,24.78,44100,665
