complex_class,month,avg_price,count
economy,2026-01,12287310.344827587,29
economy,2026-02,12874216.216216216,37
economy,2026-03,11696268.292682927,41
economy,2026-04,13874081.081081081,37
premium,2021-01,16794666.666666668,3
premium,2021-02,19215250.0,4
premium,2021-03,19961428.57142857,7
premium,2021-04,18250166.666666668,6
premium,2021-05,39339000.0,1
premium,2021-06,20473500.0,6
premium,2021-07,11180500.0,4
premium,2021-08,25153000.0,7
premium,2021-09,16895750.0,4
premium,2021-10,27583000.0,1
premium,2021-11,30941750.0,4
premium,2021-12,15287000.0,5
premium,2022-01,19262571.42857143,7
premium,2022-02,22710166.666666668,6
premium,2022-03,16579000.0,2
premium,2022-04,21742000.0,7
premium,2022-05,22777222.222222224,9
premium,2022-06,25525500.0,6
premium,2022-07,20640375.0,8
premium,2022-08,20622625.0,8
premium,2022-09,17275333.333333332,3
premium,2022-10,21279000.0,8
premium,2022-11,16259000.0,1
premium,2022-12,20909400.0,5
premium,2023-01,21132200.0,10
premium,2023-02,15235333.333333334,3
premium,2023-03,25156400.0,5
premium,2023-04,30941666.666666668,6
premium,2023-05,24456000.0,6
premium,2023-06,21400600.0,5
premium,2023-07,28249800.0,5
premium,2023-08,10976500.0,2
premium,2023-09,30158250.0,4
premium,2023-10,30278333.333333332,3
premium,2023-11,19262666.666666668,6
premium,2023-12,35348285.71428572,7
premium,2024-01,35495200.0,10
premium,2024-02,27511428.57142857,7
premium,2024-03,26904142.85714286,7
premium,2024-04,23442000.0,3
premium,2024-05,27881000.0,4
premium,2024-06,22539333.333333332,6
premium,2024-07,18445333.333333332,6
premium,2024-08,17334200.0,5
premium,2024-09,22070000.0,2
premium,2024-10,28265800.0,5
premium,2024-11,21413600.0,5
premium,2024-12,25444333.333333332,9
premium,2025-01,25175750.0,4
premium,2025-02,26843000.0,2
premium,2025-03,22544875.0,8
premium,2025-04,16130500.0,2
premium,2025-05,20979777.777777776,9
premium,2025-06,21418600.0,5
premium,2025-07,24265750.0,4
premium,2025-08,25307444.444444444,9
premium,2025-09,21965500.0,4
premium,2025-10,37488833.333333336,6
premium,2025-11,20248000.0,8
premium,2025-12,14937666.666666666,3
premium,2026-01,26527000.0,2
premium,2026-02,25446500.0,2
premium,2026-03,18465000.0,3
premium,2026-04,30564833.333333332,6
