iter	Passed	Remaining
373	10652	3588
374	10680	3560
375	10707	3531
376	10735	3502
377	10760	3473
378	10784	3442
379	10807	3412
380	10834	3384
381	10862	3355
382	10889	3326
383	10912	3296
384	10936	3266
385	10960	3236
386	10984	3207
387	11012	3178
388	11042	3150
389	11069	3122
390	11096	3093
391	11121	3064
392	11146	3034
393	11170	3005
394	11198	2976
395	11225	2948
396	11249	2918
397	11274	2889
398	11298	2860
399	11323	2830
400	11346	2801
401	11372	2772
402	11413	2747
403	11439	2718
404	11463	2688
405	11487	2659
406	11515	2631
407	11545	2603
408	11577	2575
409	11604	2547
410	11631	2518
411	11655	2489
412	11684	2461
413	11708	2432
414	11735	2403
415	11767	2376
416	11794	2347
417	11818	2318
418	11843	2289
419	11875	2261
420	11903	2233
421	11935	2206
422	11965	2178
423	11993	2149
424	12019	2121
425	12044	2092
426	12069	2063
427	12096	2034
428	12124	2006
429	12150	1978
430	12176	1949
431	12203	1920
432	12234	1893
433	12259	1864
434	12295	1837
435	12325	1809
436	12352	1780
437	12377	1752
438	12403	1723
439	12428	1694
440	12456	1666
441	12481	1637
442	12506	1609
443	12530	1580
444	12556	1551
445	12580	1523
446	12607	1494
447	12635	1466
448	12658	1437
449	12681	1409
450	12705	1380
451	12731	1351
452	12803	1328
453	12830	1300
454	12855	1271
455	12879	1242
456	12903	1214
457	12932	1185
458	12962	1157
459	12990	1129
460	13013	1100
461	13037	1072
462	13062	1043
463	13085	1015
464	13112	986
465	13142	958
466	13171	930
467	13199	902
468	13226	874
469	13250	845
470	13275	817
471	13305	789
472	13332	761
473	13356	732
474	13380	704
475	13406	675
476	13430	647
477	13456	619
478	13483	591
479	13510	562
480	13535	534
481	13590	507
482	13620	479
483	13654	451
484	13682	423
485	13709	394
486	13733	366
487	13758	338
488	13788	310
489	13814	281
490	13839	253
491	13864	225
492	13890	197
493	13917	169
494	13948	140
495	13976	112
496	14001	84
497	14025	56
498	14063	28
499	14096	0
