iter	RMSE
286	1548442.82
287	1547787.674
288	1546127.997
289	1544455.998
290	1543543.633
291	1542854.158
292	1542487.883
293	1541812.788
294	1540719.904
295	1539012.029
296	1537233.104
297	1536227.191
298	1535835.919
299	1535349.967
300	1534927.815
301	1534163.425
302	1532343.729
303	1531012.383
304	1529923.19
305	1529259.198
306	1527549.062
307	1526479.655
308	1525504.406
309	1524513.932
310	1523473.928
311	1522828.145
312	1522024.08
313	1521407.659
314	1520198.359
315	1518574.805
316	1517630.686
317	1516916.874
318	1516784.514
319	1515924.685
320	1515207.29
321	1514150.575
322	1513662.439
323	1512583.457
324	1512217.934
325	1510596.747
326	1509734.857
327	1508948.623
328	1508175.723
329	1507562.475
330	1505729.51
331	1505291.645
332	1503852.22
333	1503258.552
334	1501738.594
335	1501366.5
336	1501009.98
337	1500498.216
338	1499774.634
339	1498433.609
340	1497649.178
341	1496271.293
342	1495119.122
343	1494491.895
344	1493224.845
345	1492307.437
346	1491617.75
347	1491257.709
348	1489541.906
349	1488353.102
350	1487445.332
351	1486774.481
352	1485416.087
353	1483916.895
354	1482791.082
355	1482176.411
356	1481364.178
357	1480390.887
358	1479778.869
359	1478989.129
360	1477492.93
361	1476674.76
362	1475670.726
363	1475081.222
364	1473688.318
365	1472884.296
366	1472310.444
367	1471776.927
368	1471129.801
369	1470821.155
370	1468979.47
371	1468583.574
372	1467913.369
373	1466324.588
374	1465951.706
375	1465113.464
376	1463482.742
377	1461488.187
378	1459172.81
379	1458668.724
380	1457832.125
381	1456565.43
382	1455882.17
383	1455405.593
384	1454192.113
385	1453524.939
386	1452442.651
387	1451215.596
388	1450595.431
389	1449564.39
390	1448905.704
391	1447836.584
392	1447041.211
393	1445950.196
394	1445459.446
395	1444631.836
396	1444118.058
397	1443813.362
398	1442587.8
399	1440969.157
400	1440353.457
401	1439809.771
402	1438935.08
403	1438309.647
404	1437464.68
405	1436241.378
406	1435269.478
407	1434846.276
408	1434137.354
409	1433302.453
410	1432554.169
411	1431561.345
412	1431303.138
413	1430670.651
414	1430117.068
415	1428042.062
416	1427565.767
417	1426764.529
418	1426128.295
419	1425714.982
420	1424485.284
421	1424231.991
422	1423117.616
423	1421986.628
424	1421874.685
425	1420960.492
426	1420434.108
427	1419543.51
428	1417514.433
429	1416852.061
430	1415525.036
431	1414647.646
432	1414146.468
433	1413140.418
434	1412056.58
435	1411540.524
436	1410211.34
437	1409023.565
438	1408008.59
439	1407186.489
440	1406651.888
441	1405939.084
442	1405307.48
443	1404906.67
444	1404278.648
445	1403726.531
446	1403033.699
447	1402091.547
448	1401297.785
449	1400813.052
450	1400233.149
451	1399396.769
452	1398485.599
453	1397842.377
454	1397105.778
455	1396464.204
456	1395658.533
457	1395021.729
458	1394740.028
459	1393188.933
460	1392604.304
461	1392263.92
462	1391668.001
463	1391383.417
464	1391104.868
465	1390310.981
466	1389545.811
467	1388598.607
468	1386984.93
469	1386140.072
470	1385213.469
471	1384432.841
472	1383348.344
473	1382405.694
474	1381882.843
475	1381380.685
476	1380856.889
477	1380421.534
478	1379785.392
479	1379321.309
480	1378391.317
481	1377431.39
482	1376936.332
483	1376586.071
484	1375559.318
485	1375225.392
486	1374058.612
487	1373247.233
488	1372476.526
489	1372107.611
490	1371158.191
491	1369791.911
492	1369559.765
493	1369226.169
494	1368994.768
495	1368440.715
496	1367394.309
497	1366832.854
498	1365074.567
499	1364628.729
